icao_code,aircraft,mtow,mlw,oew,mfc,vmo,mmo,ceiling,pax_max,pax_low,pax_high,fuselage_length,fuselage_height,fuselage_width,wing_area,wing_span,wing_mac,wing_sweep,wing_t/c,flaps_type,flaps_area,flaps_bf/b,flaps_lambda_f,flaps_cf/c,flaps_Sf/S,cruise_height,cruise_mach,engine_type,engine_mount,engine_number,engine_default,engine_options_A319-171N,engine_options_A319-151N,engine_options_A319-153N,drag_cd0,drag_k,drag_e,drag_gears,fuel_engine,fuel_fuel_coef,aircraft_name,engine_options_A320-271N,engine_options_A320-272N,engine_options_A320-273N,engine_options_A320-251N,engine_options_A320-252N,engine_options_A320-253N,fuel_aircraft,engine_options_A321-271N,engine_options_A321-272N,engine_options_A321-251N,engine_options_A321-252N,engine_options_A321-253N,engine_options_A318-111,engine_options_A318-112,engine_options_A318-121,engine_options_A318-122,engine_options_A319-111,engine_options_A319-112,engine_options_A319-113,engine_options_A319-114,engine_options_A319-115,engine_options_A319-131,engine_options_A319-132,engine_options_A319-133,engine_options_A320-111,engine_options_A320-211,engine_options_A320-212,engine_options_A320-214,engine_options_A320-215,engine_options_A320-216,engine_options_A320-231,engine_options_A320-232,engine_options_A320-233,engine_options_A321-111,engine_options_A321-112,engine_options_A321-131,engine_options_A321-211,engine_options_A321-212,engine_options_A321-213,engine_options_A321-231,engine_options_A321-232,engine_options_A330-201,engine_options_A330-202,engine_options_A330-203,engine_options_A330-223,engine_options_A330-223F,engine_options_A330-243,engine_options_A330-301,engine_options_A330-302,engine_options_A330-303,engine_options_A330-321,engine_options_A330-322,engine_options_A330-323,engine_options_A330-341,engine_options_A330-342,engine_options_A330-343,engine_options_A340-311,engine_options_A340-312,engine_options_A340-313,engine_options_A350-941,engine_options_A380-841,engine_options_A380-842,engine_options_A380-861,engine_options,clean_cd0,clean_k,clean_e,clean_gears,limits,range
A359,Airbus A350-900,280000,205000,142400,140795,340.0,0.89,13100,440,300,350,66.8,6.09,5.96,442.0,64.75,,31.9,,double-slotted,,,0.9,0.15,0.15,11000,0.85,turbofan,wing,2,Trent XWB-84,,,,0.022,0.043,0.783,0.013,,,Airbus A350-900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trent XWB-84,,,,,,,,,,
A388,Airbus A380-800,560000,386000,277000,320000,340.0,0.89,13100,853,410,620,72.72,8.41,7.14,845.0,79.75,,33.5,0.08,single-slotted,,,0.9,0.15,0.15,12800,0.85,turbofan,wing,4,GP7270,,,,0.016,0.05,0.855,0.012,,,Airbus A380-800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trent 970-84,Trent 972-84,GP7270,,,,,,,
B37M,Boeing 737 MAX 7,80000,60000,45000,26000,340.0,0.82,12500,172,138,153,33.6,3.73,3.73,124.6,34.32,4.17,25.0,,double-slotted,,0.6,0.9,0.15,0.15,11000,0.78,turbofan,wing,2,LEAP-1B,,,,0.02,0.042,0.797,0.018,,,Boeing 737 MAX 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['LEAP-1B'],,,,,,
B38M,Boeing 737 MAX 8,82000,66300,45000,26000,340.0,0.82,12500,210,162,178,39.47,3.73,3.73,124.6,34.32,4.17,25.0,,double-slotted,,0.6,0.9,0.15,0.15,11000,0.79,turbofan,wing,2,LEAP-1B,,,,0.02,0.042,0.797,0.018,,,Boeing 737 MAX 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['LEAP-1B'],,,,,,
B39M,Boeing 737 MAX 9,88000,71000,45000,26000,340.0,0.82,12500,220,178,193,42.11,3.73,3.73,124.6,34.32,4.17,25.0,,double-slotted,,0.6,0.9,0.15,0.15,11000,0.79,turbofan,wing,2,LEAP-1B,,,,0.02,0.042,0.797,0.018,,,Boeing 737 MAX 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['LEAP-1B'],,,,,,
B3XM,Boeing 737 MAX 10,90000,70000,45000,26000,340.0,0.82,12500,230,188,204,43.8,3.73,3.73,124.6,34.32,4.17,25.0,,double-slotted,,0.6,0.9,0.15,0.15,11000,0.79,turbofan,wing,2,LEAP-1B,,,,0.02,0.042,0.797,0.018,,,Boeing 737 MAX 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['LEAP-1B'],,,,,,
B734,Boeing 737-400,68000,56200,33700,20000,340.0,0.82,12500,188,145,160,33.4,3.73,3.73,91.04,28.88,3.73,25.0,0.129,triple-slotted,,0.72,0.9,0.15,0.15,11000,0.78,turbofan,wing,2,CFM56-3B-2,,,,0.02,0.044,0.793,0.021,CFM56-3C-1,2.60481253,Boeing 737-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['CFM56-3B-2', 'CFM56-3C-1']",,,,,,
B737,Boeing 737-700,70000,58600,37600,26000,340.0,0.82,12500,149,130,149,33.6,3.73,3.73,124.6,34.32,4.17,25.0,,double-slotted,,0.6,0.9,0.15,0.15,11000,0.78,turbofan,wing,2,CFM56-7B26,,,,0.022,0.043,0.78,0.016,CFM56-7B26,2.69348207,Boeing 737-700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['CFM56-7B20', 'CFM56-7B22', 'CFM56-7B24', 'CFM56-7B26', 'CFM56-7B27']",,,,,,
B738,Boeing 737-800,79000,66300,41400,26000,340.0,0.82,12500,189,162,189,39.47,3.73,3.73,124.6,34.32,4.17,25.0,,double-slotted,,0.6,0.9,0.15,0.15,11000,0.789,turbofan,wing,2,CFM56-7B26,,,,0.019,0.042,0.799,0.017,CFM56-7B26E,2.68531655,Boeing 737-800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['CFM56-7B24', 'CFM56-7B26', 'CFM56-7B27']",,,,,,
B739,Boeing 737-900,85100,71300,44600,26000,340.0,0.82,12500,215,170,190,42.11,3.73,3.73,124.6,34.32,4.17,25.0,,double-slotted,,0.6,0.9,0.15,0.15,11000,0.79,turbofan,wing,2,CFM56-7B26,,,,,,,,CFM56-7B27E,2.79057225,Boeing 737-900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['CFM56-7B24', 'CFM56-7B26', 'CFM56-7B27']",0.02,0.042,0.797,0.018,,
B744,Boeing 747-400,396800,260300,182400,203500,365.0,0.92,13700,660,520,570,70.66,8.1,6.5,525.6,64.4,9.68,37.5,0.094,triple-slotted,78.7,0.639,0.9,0.198,0.15,11000,0.85,turbofan,wing,4,CF6-80C2B1F,,,,0.021,0.049,0.816,0.015,,,Boeing 747-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['PW4062', 'CF6-80C2B1F', 'RB211-524G']",,,,,,
B748,Boeing 747-8,447700,312100,220100,238600,365.0,0.92,13100,605,460,480,76.3,7.1,6.5,554.0,68.4,9.68,37.5,0.094,triple-slotted,78.7,0.639,0.9,0.186,0.142,11000,0.85,turbofan,wing,4,GEnx-2B67,,,,0.021,0.047,0.806,0.015,,,Boeing 747-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['GEnx-2B67'],,,,,,
B752,Boeing 757-200,115600,92200,58400,43500,350.0,0.86,12800,239,200,225,47.3,4.1,4.1,182.3,38.0,5.64,25.0,,double-slotted,30.4,0.757,0.9,0.187,0.167,11000,0.8,turbofan,wing,2,RB211-535E4,,,,0.021,0.049,0.813,0.016,,,Boeing 757-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['PW2037', 'RB211-535E4']",,,,,,
